timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
21535743,21535850,107,51.8519897460938,131.606140136719,101,21535951,21536033,82,38.864013671875,90.5484619140625,42,21536075,21536125,50,123.485656738281,87.5498046875,109,21536234,21536284,50,91.5152587890625,102.618530273438,41,pin-length-4
246602521,246602562,41,152,70,550,246603112,246603172,60,108,117,741,246603913,246603980,67,138,76,434,246604414,246604456,42,103,92,42,pin-length-4
246606039,246606090,51,111,107,550,246606640,246606707,67,124,86,484,246607191,246607259,68,130,77,451,246607710,246607743,33,121,54,42,pin-length-4
246608952,246609055,103,119,101,609,246609664,246609741,77,105,90,517,246610258,246610325,67,129,116,434,246610759,246610818,59,124,94,42,pin-length-4
246611834,246611910,76,135,78,552,246612462,246612529,67,99,70,641,246613170,246613247,77,148,60,451,246613698,246613757,59,135,58,42,pin-length-4
246617300,246617385,85,153,86,451,246617836,246617921,85,58,75,426,246618347,246618432,85,150,83,359,246618791,246618850,59,133,89,42,pin-length-4
76675194,76675288,94,56,96,159,76675447,76675525,78,115,86,833,76676358,76676426,68,152,4,235,76676661,76676728,67,116,135,43,pin-length-4
76677747,76677840,93,107,111,226,76678066,76678152,86,117,121,435,76678587,76678662,75,111,98,169,76678831,76678899,68,89,121,43,pin-length-4
76679892,76679977,85,121,90,168,76680145,76680222,77,136,105,243,76680465,76680551,86,127,111,200,76680751,76680829,78,124,161,43,pin-length-4
76688076,76688161,85,90,90,302,76688463,76688522,59,137,148,235,76688757,76688825,68,105,105,175,76689000,76689077,77,165,183,43,pin-length-4
76690473,76690558,85,54,105,268,76690826,76690911,85,141,132,185,76691096,76691172,76,120,125,169,76691341,76691422,81,144,156,43,pin-length-4
