timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
429215385,429215532,147,143,146,2388,429217920,429218076,156,117,128,2126,429220202,429220368,166,105,146,558,429220926,429221092,166,119,148,11,pin-length-4
429319423,429319721,298,129,129,775,429320496,429320767,271,122,136,950,429321717,429322007,290,130,119,601,429322608,429322889,281,124,132,11,pin-length-4
429329407,429329713,306,119,131,1015,429330728,429331086,358,113,140,959,429332045,429332309,264,141,108,591,429332900,429333155,255,124,129,11,pin-length-4
429340265,429340616,351,133,121,977,429341593,429341917,324,114,144,916,429342833,429343125,292,123,122,617,429343742,429344040,298,126,141,11,pin-length-4
429350517,429350825,308,105,136,868,429351693,429352017,324,128,129,791,429352808,429353082,274,138,128,549,429353631,429353876,245,121,127,11,pin-length-4
429361377,429361754,377,125,127,732,429362486,429362784,298,118,129,866,429363650,429363941,291,130,119,576,429364517,429364789,272,136,123,11,pin-length-4
429370824,429371166,342,101,137,667,429371833,429372122,289,128,129,658,429372780,429373065,285,144,126,467,429373532,429373811,279,111,126,11,pin-length-4
429379799,429380151,352,123,125,725,429380876,429381174,298,135,136,743,429381917,429382199,282,131,128,500,429382699,429382988,289,119,117,11,pin-length-4
429388992,429389308,316,132,114,650,429389958,429390255,297,114,141,892,429391147,429391465,318,140,134,492,429391957,429392237,280,121,131,11,pin-length-4
429398707,429399067,360,133,112,676,429399743,429400076,333,125,148,1108,429401184,429401520,336,142,120,467,429401987,429402276,289,99,121,11,pin-length-4
429408053,429408467,414,152,124,799,429409266,429409591,325,118,154,660,429410251,429410506,255,118,121,467,429410973,429411245,272,121,115,11,pin-length-4
429231308,429231517,209,118,133,1158,429232675,429232903,228,120,142,1447,429234350,429234545,195,137,139,574,429235119,429235355,236,128,149,11,pin-length-4
429417168,429417530,362,114,113,641,429418171,429418469,298,116,141,635,429419104,429419378,274,135,116,441,429419819,429420082,263,114,128,11,pin-length-4
19184521,19184640,119,101,102,3137,19187777,19187889,112,87,100,1314,19189203,19189323,120,94,120,1117,19190440,19190571,131,81,118,11,pin-length-4
19194042,19194180,138,120,77,1408,19195588,19195704,116,95,108,1349,19197053,19197201,148,91,117,917,19198118,19198257,139,84,117,11,pin-length-4
19202522,19202666,144,96,108,1708,19204374,19204522,148,128,127,1685,19206207,19206329,122,96,115,1001,19207330,19207486,156,107,118,11,pin-length-4
19212368,19212513,145,89,116,1807,19214320,19214469,149,96,120,1100,19215569,19215726,157,105,112,833,19216559,19216743,184,118,107,11,pin-length-4
19220644,19220789,145,104,130,1293,19222082,19222229,147,114,113,1126,19223355,19223521,166,104,100,285,19223806,19223965,159,125,118,11,pin-length-4
429243082,429243301,219,135,121,1106,429244407,429244653,246,135,135,1347,429246000,429246245,245,149,133,558,429246803,429247022,219,125,129,11,pin-length-4
429254035,429254254,219,119,138,881,429255135,429255400,265,113,133,1551,429256951,429257163,212,111,130,724,429257887,429258105,218,147,135,11,pin-length-4
