area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
0,0.003921568859369,72757850,72757917,67,89,111,0,0.003921568859369,68,72757985,72758036,51,106,146,0,0.003921568859369,192,72758228,72758287,59,123,85,0,0.003921568859369,102,72758389,72758482,93,32,34,24,pin-length-4
0,0.003921568859369,72760781,72760866,85,78,76,0,0.003921568859369,84,72760950,72761013,63,158,136,0,0.003921568859369,159,72761172,72761222,50,65,125,0,0.003921568859369,68,72761290,72761366,76,43,81,24,pin-length-4
0,0.003921568859369,72762260,72762336,76,100,103,0,0.003921568859369,92,72762428,72762497,69,135,119,0,0.003921568859369,151,72762648,72762724,76,118,106,0,0.003921568859369,101,72762825,72762910,85,52,85,24,pin-length-4
0,0.003921568859369,72763811,72763896,85,97,120,0,0.003921568859369,92,72763988,72764031,43,129,128,0,0.003921568859369,175,72764206,72764265,59,108,132,0,0.003921568859369,68,72764333,72764418,85,81,90,24,pin-length-4
0,0.003921568859369,72765128,72765187,59,86,79,0,0.003921568859369,102,72765289,72765348,59,107,130,0,0.003921568859369,201,72765549,72765616,67,104,106,0,0.003921568859369,85,72765701,72765777,76,75,102,24,pin-length-4
3333333504,0.239215701818466,308372412,308372506,94,94,116,3000000000,0.21960785984993,2470,308374976,308375090,114,114,142,3666666752,0.247058838605881,12598,308387688,308387794,106,46,82,2666666752,0.21960785984993,571,308388365,308388471,106,111,89,25,pin-length-4
3333333504,0.223529428243637,308389981,308390087,106,81,76,2333333504,0.200000017881393,958,308391045,308391142,97,105,99,3666666752,0.258823543787003,406,308391548,308391635,87,72,125,2000000128,0.192156881093979,581,308392216,308392302,86,91,106,25,pin-length-4
3666666752,0.254901975393295,308392952,308393048,96,78,106,2333333504,0.200000017881393,407,308393455,308393561,106,112,127,3000000000,0.231372565031052,358,308393919,308394035,116,69,101,2333333504,0.192156881093979,474,308394509,308394586,77,74,144,25,pin-length-4
3666666752,0.26274511218071,308395244,308395321,77,91,107,2333333504,0.200000017881393,407,308395728,308395853,125,124,106,3000000000,0.243137270212173,416,308396269,308396375,106,62,112,3000000000,0.215686291456223,427,308396802,308396888,86,83,119,25,pin-length-4
4000000256,0.278431385755539,308398060,308398164,104,60,98,2333333504,0.200000017881393,310,308398474,308398570,96,71,116,3666666752,0.258823543787003,1868,308400438,308400543,105,95,116,2333333504,0.200000017881393,436,308400979,308401066,87,88,139,25,pin-length-4
0,0.003921568859369,63581780,63581839,59,143,91,0,0.003921568859369,484,63582323,63582390,67,131,101,0,0.003921568859369,624,63583014,63583090,76,130,87,0,0.003921568859369,310,63583400,63583451,51,124,94,27,pin-length-4
0,0.003921568859369,63584900,63584967,67,177,83,0,0.003921568859369,376,63585343,63585411,68,156,51,0,0.003921568859369,358,63585769,63585820,51,150,86,0,0.003921568859369,309,63586129,63586170,41,124,128,27,pin-length-4
0,0.003921568859369,63587152,63587220,68,168,68,0,0.003921568859369,276,63587496,63587555,59,126,106,0,0.003921568859369,317,63587872,63587930,58,148,109,0,0.003921568859369,285,63588215,63588265,50,112,105,27,pin-length-4
0,0.003921568859369,63589263,63589314,51,158,120,0,0.003921568859369,300,63589614,63589682,68,145,86,0,0.003921568859369,292,63589974,63590024,50,126,114,0,0.003921568859369,309,63590333,63590383,50,118,104,27,pin-length-4
0,0.003921568859369,63591291,63591341,50,119,91,0,0.003921568859369,375,63591716,63591775,59,113,47,0,0.003921568859369,508,63592283,63592326,43,130,102,0,0.003921568859369,300,63592626,63592658,32,123,85,27,pin-length-4
0,1,314460423,314460487,64,92,89,0,1,278,314460765,314460796,31,107,77,0,1,427,314461223,314461262,39,121,100,0,1,289,314461551,314461581,30,96,83,28,pin-length-4
0,1,314462365,314462412,47,118,112,0,1,271,314462683,314462705,22,69,98,0,1,228,314462933,314462989,56,115,120,0,1,200,314463189,314463213,24,41,56,28,pin-length-4
0,1,314463591,314463649,58,77,121,0,1,241,314463890,314463907,17,48,69,0,1,207,314464114,314464148,34,72,96,0,1,166,314464314,314464323,9,122,85,28,pin-length-4
0,1,314464875,314464948,73,101,111,0,1,209,314465157,314465244,87,105,77,0,1,149,314465393,314465456,63,125,141,0,1,125,314465581,314465599,18,89,20,28,pin-length-4
0,1,314466100,314466139,39,105,86,0,1,202,314466341,314466397,56,107,14,0,1,194,314466591,314466632,41,102,78,0,1,142,314466774,314466806,32,63,69,28,pin-length-4
1333333376,0.164705887436867,16506994,16507081,87,125,83,2666666752,0.188235312700272,357,16507438,16507567,129,134,112,3000000000,0.192156881093979,394,16507961,16508051,90,141,100,1333333376,0.152941182255745,600,16508651,16508738,87,106,110,33,pin-length-4
2333333504,0.184313729405403,16510735,16510830,95,136,104,2666666752,0.200000017881393,264,16511094,16511204,110,132,94,3000000000,0.211764723062515,284,16511488,16511538,50,191,95,3000000000,0.200000017881393,621,16512159,16512245,86,139,93,33,pin-length-4
2333333504,0.188235312700272,16512660,16512770,110,110,103,3000000000,0.207843154668808,355,16513125,16513228,103,165,109,3000000000,0.211764723062515,729,16513957,16514034,77,183,95,2666666752,0.192156881093979,337,16514371,16514458,87,142,99,33,pin-length-4
2000000128,0.180392161011696,16520595,16520694,99,123,116,3000000000,0.21960785984993,334,16521028,16521108,80,138,98,3000000000,0.207843154668808,661,16521769,16521856,87,140,101,3000000000,0.203921586275101,779,16522635,16522725,90,138,68,33,pin-length-4
2666666752,0.200000017881393,16524298,16524382,84,137,111,3666666752,0.223529428243637,213,16524595,16524726,131,135,97,3000000000,0.215686291456223,254,16524980,16525058,78,168,79,2333333504,0.184313729405403,426,16525484,16525584,100,134,93,33,pin-length-4
0,0.003921568859369,84212999,84213066,67,136,96,0,0.003921568859369,268,84213334,84213384,50,142,99,0,0.003921568859369,1174,84214558,84214626,68,121,100,0,0.003921568859369,542,84215168,84215218,50,127,71,34,pin-length-4
0,0.003921568859369,84217794,84217870,76,136,106,0,0.003921568859369,169,84218039,84218107,68,143,94,0,0.003921568859369,500,84218607,84218674,67,122,68,0,0.003921568859369,268,84218942,84218993,51,121,107,34,pin-length-4
0,0.003921568859369,84219904,84219981,77,139,87,0,0.003921568859369,126,84220107,84220192,85,128,97,0,0.003921568859369,184,84220376,84220459,83,100,149,0,0.003921568859369,216,84220675,84220734,59,126,173,34,pin-length-4
0,0.003921568859369,84221528,84221609,81,136,60,0,0.003921568859369,117,84221726,84221803,77,101,107,0,0.003921568859369,209,84222012,84222063,51,98,116,0,0.003921568859369,233,84222296,84222356,60,136,148,34,pin-length-4
0,0.003921568859369,84223007,84223088,81,159,46,0,0.003921568859369,117,84223205,84223268,63,130,90,0,0.003921568859369,159,84223427,84223503,76,122,122,0,0.003921568859369,185,84223688,84223764,76,153,150,34,pin-length-4
0,0.003921568859369,35553246,35553339,93,128,110,0,0.003921568859369,100,35553439,35553524,85,127,111,0,0.003921568859369,651,35554175,35554250,75,90,134,0,0.003921568859369,335,35554585,35554670,85,129,158,36,pin-length-4
0,0.003921568859369,35555355,35555448,93,100,95,0,0.003921568859369,92,35555540,35555626,86,96,107,0,0.003921568859369,409,35556035,35556111,76,27,111,0,0.003921568859369,284,35556395,35556497,102,128,117,36,pin-length-4
0,0.003921568859369,35557349,35557477,128,128,74,0,0.003921568859369,93,35557570,35557647,77,133,82,0,0.003921568859369,501,35558148,35558206,58,41,95,0,0.003921568859369,250,35558456,35558551,95,134,118,36,pin-length-4
0,0.003921568859369,35559334,35559428,94,100,108,0,0.003921568859369,92,35559520,35559614,94,98,106,0,0.003921568859369,478,35560092,35560150,58,55,111,0,0.003921568859369,201,35560351,35560454,103,162,98,36,pin-length-4
0,0.003921568859369,35561372,35561457,85,129,87,0,0.003921568859369,100,35561557,35561643,86,126,99,0,0.003921568859369,318,35561961,35562055,94,47,94,0,0.003921568859369,200,35562255,35562359,104,144,102,36,pin-length-4
0,1,329765833,329765979,146,59,79,0,1,254,329766233,329766365,132,58,54,0,1,463,329766828,329766934,106,68,83,0,1,398,329767332,329767421,89,56,60,37,pin-length-4
0,1,329768315,329768435,120,73,68,0,1,265,329768700,329768803,103,54,70,0,1,408,329769211,329769358,147,49,41,0,1,298,329769656,329769760,104,81,72,37,pin-length-4
0,1,329770630,329770760,130,79,78,0,1,210,329770970,329771103,133,58,83,0,1,305,329771408,329771538,130,72,70,0,1,299,329771837,329771924,87,72,63,37,pin-length-4
0,1,329773623,329773753,130,86,55,0,1,228,329773981,329774122,141,58,84,0,1,287,329774409,329774524,115,73,69,0,1,300,329774824,329774910,86,52,67,37,pin-length-4
