area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
0,0.003921568859369,320872041,320872135,94,141,99,0,0.003921568859369,268,320872403,320872523,120,118,103,0,0.003921568859369,468,320872991,320873059,68,100,146,0,0.003921568859369,1575,320874634,320874692,58,114,97,0,0.003921568859369,859,320875551,320875626,75,96,114,0,0.003921568859369,235,320875861,320875920,59,84,68,17,pin-length-6
0,0.003921568859369,320883113,320883182,69,125,85,0,0.003921568859369,400,320883582,320883692,110,133,135,0,0.003921568859369,268,320883960,320884037,77,141,124,0,0.003921568859369,601,320884638,320884730,92,110,95,0,0.003921568859369,1018,320885748,320885841,93,112,101,0,0.003921568859369,218,320886059,320886127,68,114,81,17,pin-length-6
0,0.003921568859369,320893129,320893239,110,119,61,0,0.003921568859369,176,320893415,320893535,120,155,96,0,0.003921568859369,226,320893761,320893828,67,128,137,0,0.003921568859369,951,320894779,320894846,67,95,130,0,0.003921568859369,602,320895448,320895524,76,124,114,0,0.003921568859369,268,320895792,320895865,73,75,89,17,pin-length-6
0,0.003921568859369,320902354,320902429,75,128,68,0,0.003921568859369,227,320902656,320902758,102,144,92,0,0.003921568859369,234,320902992,320903077,85,123,141,0,0.003921568859369,817,320903894,320903953,59,124,105,0,0.003921568859369,726,320904679,320904754,75,110,98,0,0.003921568859369,168,320904922,320904989,67,125,23,17,pin-length-6
0,0.168627455830574,541681629,541681878,249,131,115,0,0.184313729405403,680,541682558,541682792,234,115,88,0,0.176470592617989,592,541683384,541683626,242,129,117,0,0.196078449487686,802,541684428,541684672,244,109,145,0,0.200000017881393,1084,541685756,541685999,243,161,117,0,0.192156881093979,608,541686607,541686782,175,147,120,19,pin-length-6
0,0.156862750649452,541697007,541697322,315,133,89,0,0.164705887436867,898,541698220,541698553,333,134,103,0,0.172549024224281,819,541699372,541699696,324,132,136,0,0.125490203499794,853,541700549,541700917,368,168,105,0,0.172549024224281,803,541701720,541702069,349,152,119,0,0.113725498318672,8153,541710222,541710332,110,110,139,19,pin-length-6
0,0.090196080505848,541765542,541765986,444,141,100,0,0.180392161011696,634,541766620,541767014,394,151,121,0,0.172549024224281,636,541767650,541768078,428,146,105,0,0.188235312700272,697,541768775,541769177,402,150,115,0,0.180392161011696,567,541769744,541770091,347,141,100,0,0.203921586275101,531,541770622,541770935,313,106,173,19,pin-length-6
0,0.168627455830574,541815551,541815759,208,135,66,0,0.211764723062515,829,541816588,541816735,147,147,51,0,0.200000017881393,706,541817441,541817543,102,114,91,0,0.168627455830574,652,541818195,541818343,148,93,121,0,0.184313729405403,450,541818793,541818914,121,142,59,0,0.200000017881393,406,541819320,541819407,87,154,128,19,pin-length-6
0,0.156862750649452,541821226,541821354,128,121,52,0,0.196078449487686,345,541821699,541821802,103,167,118,0,0.196078449487686,864,541822666,541822751,85,129,91,0,0.200000017881393,583,541823334,541823463,129,146,90,0,0.203921586275101,742,541824205,541824272,67,149,122,0,0.200000017881393,758,541825030,541825116,86,123,129,19,pin-length-6
0,0.003921568859369,320415334,320415401,67,138,94,0,0.003921568859369,293,320415694,320415778,84,89,123,0,0.003921568859369,576,320416354,320416430,76,185,98,0,0.003921568859369,243,320416673,320416740,67,133,102,0,0.003921568859369,334,320417074,320417151,77,102,102,0,0.003921568859369,267,320417418,320417486,68,91,94,20,pin-length-6
